dataset,variable,score_raw,score_processed,delta_abs,spearman_raw,spearman_processed,delta_spearman_abs,mutual_info_raw,mutual_info_processed,delta_mi_abs,ranking_raw,ranking_processed,delta_ranking
madelon,feat_16,0.008312971690878431,0.008312971690878431,0.0,0.016625943381756863,0.016625943381756863,0.0,0.0,0.0,0.0,326,326,0
madelon,feat_160,0.004867643562614558,0.004867643562614558,0.0,0.001171815539778327,0.001171815539778327,0.0,0.008563471585450788,0.008563471585450788,0.0,400,400,0
madelon,feat_161,0.021796209359492523,0.021796209359492523,0.0,0.04329145993033483,0.04329145993033483,0.0,0.0003009587886502185,0.0003009587886502185,0.0,66,66,0
madelon,feat_162,0.009024749445992334,0.009024749445992334,0.0,0.018049498891984667,0.018049498891984667,0.0,0.0,0.0,0.0,297,297,0
madelon,feat_163,0.025829667410454425,0.025829667410454425,0.0,0.03876307570350241,0.03876307570350241,0.0,0.012896259117406439,0.012896259117406439,0.0,37,37,0
madelon,feat_164,0.011169950902795996,0.011169950902795996,0.0,0.02233990180559199,0.02233990180559199,0.0,0.0,0.0,0.0,244,244,0
madelon,feat_165,0.016342389831295594,0.016342389831295594,0.0,0.029432585660496096,0.029432585660496096,0.0,0.003252194002095088,0.003252194002095088,0.0,129,129,0
madelon,feat_166,0.005058192107467677,0.005058192107467677,0.0,0.003921254319614238,0.003921254319614238,0.0,0.0061951298953211165,0.0061951298953211165,0.0,395,395,0
madelon,feat_167,0.016685546543002635,0.016685546543002635,0.0,0.03337109308600527,0.03337109308600527,0.0,0.0,0.0,0.0,125,125,0
madelon,feat_168,0.02007699481451779,0.02007699481451779,0.0,0.032872485895134675,0.032872485895134675,0.0,0.007281503733900907,0.007281503733900907,0.0,85,85,0
madelon,feat_169,0.006762272131294501,0.006762272131294501,0.0,0.0012462456568932653,0.0012462456568932653,0.0,0.012278298605695737,0.012278298605695737,0.0,361,361,0
madelon,feat_17,0.01253112161170957,0.01253112161170957,0.0,0.00888247962030268,0.00888247962030268,0.0,0.01617976360311646,0.01617976360311646,0.0,206,206,0
madelon,feat_170,0.004874138471644158,0.004874138471644158,0.0,0.009748276943288316,0.009748276943288316,0.0,0.0,0.0,0.0,399,399,0
madelon,feat_171,0.0056375805451717815,0.0056375805451717815,0.0,0.011275161090343563,0.011275161090343563,0.0,0.0,0.0,0.0,380,380,0
madelon,feat_172,0.007275078939456646,0.007275078939456646,0.0,0.014136649140213462,0.014136649140213462,0.0,0.0004135087386998304,0.0004135087386998304,0.0,351,351,0
madelon,feat_173,0.015868897406008744,0.015868897406008744,0.0,0.021961159023638648,0.021961159023638648,0.0,0.00977663578837884,0.00977663578837884,0.0,136,136,0
madelon,feat_174,0.0003109680483915897,0.0003109680483915897,0.0,0.0006219360967831794,0.0006219360967831794,0.0,0.0,0.0,0.0,490,490,0
madelon,feat_175,0.017133177459101385,0.017133177459101385,0.0,0.03426635491820277,0.03426635491820277,0.0,0.0,0.0,0.0,121,121,0
madelon,feat_176,0.011260210180965506,0.011260210180965506,0.0,0.013839422780374741,0.013839422780374741,0.0,0.008680997581556271,0.008680997581556271,0.0,242,242,0
madelon,feat_177,0.03135654958236449,0.03135654958236449,0.0,0.04640136752964428,0.04640136752964428,0.0,0.016311731635084703,0.016311731635084703,0.0,21,21,0
madelon,feat_178,0.0054534445613492084,0.0054534445613492084,0.0,0.004618682165550261,0.004618682165550261,0.0,0.006288206957148157,0.006288206957148157,0.0,388,388,0
madelon,feat_179,0.008330131602387138,0.008330131602387138,0.0,0.016660263204774275,0.016660263204774275,0.0,0.0,0.0,0.0,325,325,0
madelon,feat_18,0.017797620024122756,0.017797620024122756,0.0,0.03559524004824551,0.03559524004824551,0.0,0.0,0.0,0.0,112,112,0
madelon,feat_180,0.0007946110763228103,0.0007946110763228103,0.0,0.0015892221526456207,0.0015892221526456207,0.0,0.0,0.0,0.0,483,483,0
madelon,feat_181,0.0034798131507888697,0.0034798131507888697,0.0,0.006959626301577739,0.006959626301577739,0.0,0.0,0.0,0.0,430,430,0
madelon,feat_182,0.0023765411088210054,0.0023765411088210054,0.0,0.004753082217642011,0.004753082217642011,0.0,0.0,0.0,0.0,456,456,0
madelon,feat_183,0.003110416334601187,0.003110416334601187,0.0,0.004686567603495955,0.004686567603495955,0.0,0.0015342650657064194,0.0015342650657064194,0.0,442,442,0
madelon,feat_184,0.02143889621948504,0.02143889621948504,0.0,0.03614645989825485,0.03614645989825485,0.0,0.006731332540715229,0.006731332540715229,0.0,69,69,0
madelon,feat_185,0.015306734764051451,0.015306734764051451,0.0,0.02598045076511341,0.02598045076511341,0.0,0.004633018762989494,0.004633018762989494,0.0,147,147,0
madelon,feat_186,0.0191030987148167,0.0191030987148167,0.0,0.01433405912605381,0.01433405912605381,0.0,0.023872138303579593,0.023872138303579593,0.0,95,95,0
madelon,feat_187,0.012040583357678698,0.012040583357678698,0.0,0.023823413332412748,0.023823413332412748,0.0,0.00025775338294464767,0.00025775338294464767,0.0,217,217,0
madelon,feat_188,0.014260812705480325,0.014260812705480325,0.0,0.009804566646864521,0.009804566646864521,0.0,0.01871705876409613,0.01871705876409613,0.0,170,170,0
madelon,feat_189,0.008847172666448213,0.008847172666448213,0.0,0.008022938854681132,0.008022938854681132,0.0,0.009671406478215294,0.009671406478215294,0.0,304,304,0
madelon,feat_19,0.019490045460966395,0.019490045460966395,0.0,0.028322645431130406,0.028322645431130406,0.0,0.010657445490802386,0.010657445490802386,0.0,92,92,0
madelon,feat_190,0.008723340937504515,0.008723340937504515,0.0,0.01744668187500903,0.01744668187500903,0.0,0.0,0.0,0.0,310,310,0
madelon,feat_191,0.009918943316084589,0.009918943316084589,0.0,0.012796651983757954,0.012796651983757954,0.0,0.007041234648411221,0.007041234648411221,0.0,272,272,0
madelon,feat_192,0.0023099959514667474,0.0023099959514667474,0.0,0.004619991902933495,0.004619991902933495,0.0,0.0,0.0,0.0,458,458,0
madelon,feat_193,0.01457780778694842,0.01457780778694842,0.0,0.02915561557389684,0.02915561557389684,0.0,0.0,0.0,0.0,164,164,0
madelon,feat_194,0.011526623795791134,0.011526623795791134,0.0,0.014197191122834615,0.014197191122834615,0.0,0.008856056468747653,0.008856056468747653,0.0,231,231,0
madelon,feat_195,0.0053687625520790015,0.0053687625520790015,0.0,0.010737525104158003,0.010737525104158003,0.0,0.0,0.0,0.0,390,390,0
madelon,feat_196,0.028378761020621597,0.028378761020621597,0.0,0.036980700634818744,0.036980700634818744,0.0,0.01977682140642445,0.01977682140642445,0.0,26,26,0
madelon,feat_197,0.012001972127485857,0.012001972127485857,0.0,0.024003944254971713,0.024003944254971713,0.0,0.0,0.0,0.0,218,218,0
madelon,feat_198,0.009597525146802571,0.009597525146802571,0.0,0.019195050293605142,0.019195050293605142,0.0,0.0,0.0,0.0,281,281,0
madelon,feat_199,0.022636213677914224,0.022636213677914224,0.0,0.04527242735582845,0.04527242735582845,0.0,0.0,0.0,0.0,61,61,0
madelon,feat_2,0.008538968892592782,0.008538968892592782,0.0,0.009458202653339682,0.009458202653339682,0.0,0.007619735131845884,0.007619735131845884,0.0,317,317,0
madelon,feat_20,0.012754659480436244,0.012754659480436244,0.0,0.01371352321738161,0.01371352321738161,0.0,0.011795795743490878,0.011795795743490878,0.0,201,201,0
