dataset,componente,varianza_explicada,varianza_acumulada,n_variables_pca,n_filas_pca
madelon,121,0.0027521596776543,0.4359723129322614,500,2000
madelon,122,0.0027459191164519643,0.43871823204871335,500,2000
madelon,123,0.0027417690614710086,0.44146000111018435,500,2000
madelon,124,0.002734343133300376,0.44419434424348475,500,2000
madelon,125,0.0027173334867491394,0.4469116777302339,500,2000
madelon,126,0.002707765129759019,0.4496194428599929,500,2000
madelon,127,0.0027017883467100896,0.452321231206703,500,2000
madelon,128,0.002692050224449594,0.45501328143115255,500,2000
madelon,129,0.0026788663532177023,0.45769214778437023,500,2000
madelon,130,0.0026705003846587538,0.460362648169029,500,2000
madelon,131,0.0026472273368466684,0.4630098755058757,500,2000
madelon,132,0.0026411672427973753,0.4656510427486731,500,2000
madelon,133,0.002637927097660642,0.4682889698463337,500,2000
madelon,134,0.002618775802270082,0.4709077456486038,500,2000
madelon,135,0.00261211086631596,0.4735198565149198,500,2000
madelon,136,0.0026097248330823977,0.4761295813480022,500,2000
madelon,137,0.002602070621010291,0.4787316519690125,500,2000
madelon,138,0.0025945651994966424,0.48132621716850915,500,2000
madelon,139,0.0025878588143845634,0.4839140759828937,500,2000
madelon,140,0.002579805382166937,0.48649388136506067,500,2000
madelon,141,0.002577604055078261,0.48907148542013895,500,2000
madelon,142,0.0025699342093903157,0.4916414196295293,500,2000
madelon,143,0.002563735110191751,0.49420515473972104,500,2000
madelon,144,0.0025506610087073847,0.4967558157484284,500,2000
madelon,145,0.0025334966861439946,0.4992893124345724,500,2000
madelon,146,0.002526951492041751,0.5018162639266142,500,2000
madelon,147,0.0025230313916717244,0.5043392953182859,500,2000
madelon,148,0.002522455133082038,0.5068617504513679,500,2000
madelon,149,0.0025025508680757897,0.5093643013194438,500,2000
madelon,150,0.0024980415633504504,0.5118623428827942,500,2000
madelon,151,0.0024927374982023614,0.5143550803809965,500,2000
madelon,152,0.0024825894484209812,0.5168376698294175,500,2000
madelon,153,0.0024785783701660657,0.5193162481995836,500,2000
madelon,154,0.0024771431480676586,0.5217933913476512,500,2000
madelon,155,0.0024639327668060933,0.5242573241144574,500,2000
madelon,156,0.002448112475893403,0.5267054365903507,500,2000
madelon,157,0.0024419998509368776,0.5291474364412876,500,2000
madelon,158,0.0024351619537775,0.531582598395065,500,2000
madelon,159,0.0024324207188402597,0.5340150191139054,500,2000
madelon,160,0.0024199195612883617,0.5364349386751938,500,2000
madelon,161,0.0024162657715512876,0.5388512044467451,500,2000
madelon,162,0.0024102817181822418,0.5412614861649273,500,2000
madelon,163,0.0024050929821167076,0.543666579147044,500,2000
madelon,164,0.002400458120428021,0.546067037267472,500,2000
madelon,165,0.002390032534647736,0.5484570698021197,500,2000
madelon,166,0.002378739420473287,0.550835809222593,500,2000
madelon,167,0.002374619135208813,0.5532104283578019,500,2000
madelon,168,0.002364370852634087,0.555574799210436,500,2000
madelon,169,0.0023582249074345875,0.5579330241178705,500,2000
madelon,170,0.0023508825435893644,0.5602839066614599,500,2000
madelon,171,0.002340275070946773,0.5626241817324067,500,2000
madelon,172,0.002330126183242402,0.564954307915649,500,2000
madelon,173,0.0023223470551448026,0.5672766549707938,500,2000
madelon,174,0.0023191929455277775,0.5695958479163216,500,2000
madelon,175,0.0023082694639093167,0.5719041173802308,500,2000
madelon,176,0.00230073021070442,0.5742048475909353,500,2000
madelon,177,0.0022938347150332833,0.5764986823059686,500,2000
madelon,178,0.0022798061917763133,0.5787784884977449,500,2000
madelon,179,0.002277555737910933,0.5810560442356558,500,2000
madelon,180,0.0022672796274868347,0.5833233238631427,500,2000
madelon,181,0.0022649269013864854,0.5855882507645291,500,2000
