experiment_id,dataset,feature_set,model_name,feature,mean_abs_shap,rank,n_validation_explained,n_validation_available,raw_values_path,feature_values_path,shap_value_shape,output_labels
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,contract_length_Monthly,1.953839086408861,4,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,payment_delay,1.6470693526732654,5,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,last_interaction,1.3132094550699622,6,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,gender_Female,1.0821247257755178,7,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,tenure,0.4985616278116511,8,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,usage_frequency,0.4121179983388681,9,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,gender_Male,0.2223749805021009,10,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,subscription_type_Basic,0.10632570471444869,11,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,subscription_type_Premium,0.01757896103245729,12,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,contract_length_Quarterly,0.01675491236532689,13,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,contract_length_Annual,0.01652507311054214,14,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__all_features__xgboost,customer_churn,all_features,xgboost,subscription_type_Standard,0.015251203133530625,15,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__all_features__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__all_features__xgboost.csv,1200x15,
customer_churn__l1_logistic_k10__xgboost,customer_churn,l1_logistic_k10,xgboost,support_calls,3.6581721497562185,1,1200,66125,results/tables/06_modeling/modeling_shap_values_full_customer_churn__l1_logistic_k10__xgboost.csv,results/tables/06_modeling/modeling_shap_feature_values_customer_churn__l1_logistic_k10__xgboost.csv,1200x10,
