block,dataset,feature_set,model_name,seed,n_features,n_test,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_gap,train_val_gap,fit_seconds,predict_seconds_test,predict_us_per_sample,n_features_baseline,feature_reduction_ratio
cuantico,olive_oil_3class,qfs_na,logistic_regression,7,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.002397065982222557,0.0005345605313777924,6.215820132299911,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,13,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.0023903818801045418,0.0005303546786308289,6.166914867800335,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,21,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.002361796796321869,0.0005294345319271088,6.156215487524521,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,34,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.002376317046582699,0.0005320040509104729,6.186093615238057,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,55,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.0023570703342556953,0.0005253376439213753,6.108577254899712,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,89,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.0023589879274368286,0.0005330592393875122,6.198363248692003,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,144,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.0023680338636040688,0.000527702271938324,6.136072929515395,8,0.375
cuantico,olive_oil_3class,qfs_na,logistic_regression,233,5,86,1.0,1.0,0.9893990294886151,0.010600970511384866,0.0,0.0023649362847208977,0.0005238959565758705,6.091813448556634,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,20260607,5,86,1.0,1.0,1.0,0.0,0.0,0.0016707135364413261,0.0005285507068037987,6.145938451206961,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,1,5,86,1.0,1.0,1.0,0.0,0.0,0.0016441978514194489,0.000525549054145813,6.111035513323406,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,7,5,86,1.0,1.0,1.0,0.0,0.0,0.00163938757032156,0.0005263220518827438,6.120023859101673,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,13,5,86,1.0,1.0,1.0,0.0,0.0,0.0016189785674214363,0.0005154404789209366,5.993493940941123,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,21,5,86,1.0,1.0,1.0,0.0,0.0,0.0016147168353199959,0.0005127014592289925,5.961644874755726,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,34,5,86,1.0,1.0,1.0,0.0,0.0,0.0016375426203012466,0.0005132649093866348,5.968196620774823,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,55,5,86,1.0,1.0,1.0,0.0,0.0,0.0016189496964216232,0.0005192458629608154,6.037742592567621,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,89,5,86,1.0,1.0,1.0,0.0,0.0,0.001657872460782528,0.0005198204889893532,6.044424290573874,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,144,5,86,1.0,1.0,1.0,0.0,0.0,0.0016483170911669731,0.0005251942202448845,6.106909537731215,8,0.375
cuantico,olive_oil_3class,qfs_na,linear_svm,233,5,86,1.0,1.0,1.0,0.0,0.0,0.001720968633890152,0.0005129463970661163,5.964492989140888,8,0.375
cuantico,olive_oil_3class,qfs_na,random_forest,20260607,5,86,1.0,1.0,1.0,0.0,0.0,0.27001412585377693,0.035040322691202164,407.44561268839726,8,0.375
